mod_key,mod_name,class,batch_id,plugin,stage_digested,rows_judged,crossgen_run,review_verdict,promoted,channel_compiled,manifest_entry,docs_page,lint,notes
AscendHiddenPeaks,Ascend - Hidden Peaks of Skyrim,A,B01,Ascend - Hidden Peaks of Skyrim.esp,ok,ok,-,SILENT,-,-,-,-,-,Haiku_HiddenPeaks is the only QUST and has 0 stages / 0 objectives - see silence ledger
ToolsOfKagrenac,The Tools of Kagrenac,A,B01,Tools of Kagrenac.esp,ok,ok,ok,APPROVED,ok,ok,ok,skipped,PASS,
MoonAndStar,Moon and Star,A,B02,MoonAndStar_MAS.esp,ok,ok,ok,APPROVED,ok,ok,ok,skipped,PASS,
SinisterSeven,The Sinister Seven,A,B02,The_Sinister_Seven.esp,ok,ok,ok,APPROVED,ok,ok,ok,skipped,PASS,
LegendsOfAetherium,Legends of Aetherium,A,B02,LegendsOfAetherium.esp,ok,ok,ok,APPROVED,ok,ok,ok,skipped,PASS,
ProjectAHO,Project AHO,A,B02,Dwarfsphere.esp,ok,ok,ok,APPROVED,ok,ok,ok,skipped,PASS,
GrayCowlOfNocturnal,The Gray Cowl of Nocturnal,A,B02,Gray Fox Cowl.esm,ok,ok,ok,APPROVED,ok,ok,ok,skipped,PASS,
SleepwalkingNightmare,Sleepwalking Into A Nightmare,A,B03,NightmarePlane.esp,ok,ok,ok,APPROVED,ok,ok,ok,skipped,PASS,
HeartOfTheReach,Heart of the Reach,A,B03,HeartOfTheReach.esp,ok,ok,ok,APPROVED,ok,ok,ok,skipped,PASS,
ThereIsNoUmbra3,There Is No Umbra - Chapter III,A,B03,FloatingSwordFollower.esp,ok,ok,ok,APPROVED,ok,ok,ok,skipped,PASS,"49 tagged rows; judge corrected clavicus_vile->clavicus and 6 :umbra tags; 5 cross-gen conflicts hand-resolved; 1 NEEDS-TAG (s300, renounce_dangerous_power)"
LeapsOfFaith,Leaps of Faith,A,B03,LeapsOfFaith.esp,ok,ok,-,SILENT,-,-,-,-,-,"13 stages, every one tier B - a parkour collectathon with no branch and no judgeable act. See silence ledger."
CaughtRedHandedQE,Caught Red Handed - Quest Expansion,B,B04,Caught Red Handed - Quest Expansion.esp,ok,ok,ok,APPROVED,ok,ok,ok,skipped,PASS,
InnocenceLostQE,The Innocence Lost - Quest Expansion,B,B04,Innocence Lost - Quest Expansion.esp,ok,ok,ok,APPROVED,ok,ok,ok,skipped,PASS,
DestroyDarkBrotherhoodQE,Destroy The Dark Brotherhood - Quest Expansion,B,B04,Destroy the Dark Brotherhood - Quest Expansion.esp,ok,ok,ok,APPROVED,ok,ok,ok,skipped,PASS,
PenitusOculatus,Penitus Oculatus,B,B04,Penitus_Oculatus.esp,ok,ok,ok,APPROVED,ok,ok,ok,skipped,PASS,
ThievesGuildForGoodGuys,Thieves Guild For Good Guys,B,B04,TCBM.esp,ok,ok,ok,APPROVED,ok,ok,ok,skipped,PASS,
TheChoiceIsYours,The Choice is Yours,B,B04,TheChoiceIsYours.esp,ok,ok,-,SILENT,-,-,-,-,-,"16 overrides carry vanilla stages UNCHANGED - changes when quests start, not what happens. See silence ledger."
DestroyAcolytePriests,Destroy the Acolyte Priests,B,B04,Destroy the Acolyte Priests.esp,ok,ok,ok,APPROVED,ok,ok,ok,skipped,PASS,
DefeatTheDragonCult,Defeat the Dragon Cult,B,B04,Defeat the Dragon Cult.esp,ok,ok,ok,APPROVED,ok,ok,ok,skipped,PASS,
ReturnAegisbane,Return Aegisbane,B,B04,ReturnAegisbane.esp,ok,ok,ok,APPROVED,ok,ok,ok,skipped,PASS,
RevealingRune,Revealing Rune,B,B04,Revealing Rune.esp,ok,ok,ok,APPROVED,ok,ok,ok,skipped,PASS,
CultOfTheTrueDragonborn,Cult of the True Dragonborn,B,B04,ImmersiveMiraakDifficulty.esp,ok,ok,-,SILENT,-,-,-,-,-,only quest is aaa_MiraakBuff_Quest with 0 stages - a difficulty tweak
Kaidan2,Kaidan 2,C,B05,0Kaidan.esp,ok,ok,ok,APPROVED,ok,ok,ok,skipped,PASS,"K04 romance = 2 POSITIONAL rows (s50/s100) per owner ruling; all 26 stages tier C, RUNTIME-VERIFY"
ImmersiveKaidanAIO,Immersive Kaidan AIO,C,B05,Kaidan - Immersive Features.esp,ok,ok,ok,APPROVED,ok,ok,ok,skipped,PASS,K03/K04 all tier C; NSFW quest 0 stages - see silence ledger
DeadlandsExpanded,Deadlands Expanded - A Kaidan Quest Overhaul,C,B05,KR2_Deadlands.esp,ok,ok,-,SILENT,-,-,-,-,-,"reclassified C->B to check; KMDQuest override has identical 8 stages, only cosmetic wording. Nothing to row."
Lucien,Lucien,C,B05,Lucien.esp,ok,ok,ok,APPROVED,ok,ok,ok,skipped,PASS,
Remiel,Remiel,C,B05,HLIORemi.esp,ok,ok,ok,APPROVED,ok,ok,ok,skipped,PASS,
Inigo,Inigo,C,B05,Inigo.esp,ok,ok,ok,APPROVED,ok,ok,ok,skipped,PASS,
Sachil,Sa'chil,C,B06,SU04SachilFollower.esp,-,-,-,UNREVIEWED,-,-,-,-,-,
ValSerano,Val Serano,C,B06,AX ValSerano.esp,-,-,-,UNREVIEWED,-,-,-,-,-,
Taliesin,Taliesin,C,B06,00Taliesin.esp,-,-,-,UNREVIEWED,-,-,-,-,-,
Hoth,Hoth,C,B06,HothFollower.esp,-,-,-,UNREVIEWED,-,-,-,-,-,
Gore,Gore,C,B06,GORE.esp,-,-,-,UNREVIEWED,-,-,-,-,-,
KhajiitWillFollow,Khajiit Will Follow,C,B06,KhajiitWillFollow.esp,-,-,-,UNREVIEWED,-,-,-,-,-,
MerlinTheCorgi,Merlin the Corgi,C,B06,Merlin.esp,-,-,-,UNREVIEWED,-,-,-,-,-,
RedcapTheRiekling,Redcap the Riekling,C,B06,FA01RedcapFollower.esp,-,-,-,UNREVIEWED,-,-,-,-,-,
InterestingNPCs,Interesting NPCs (3DNPC),C,B07,3DNPC.esp,-,-,-,UNREVIEWED,-,-,-,-,-,
