mod_key,mod_name,class,batch_id,instance_root,mod_folder,plugin
MoonAndStar,Moon and Star,A,B02,D:/Wabbajack/modlists/JoJ,Moon and Star - Cleaned Fixed and ESMed,MoonAndStar_MAS.esp
SinisterSeven,The Sinister Seven,A,B02,D:/Wabbajack/modlists/JoJ,The Sinister Seven SSE,The_Sinister_Seven.esp
LegendsOfAetherium,Legends of Aetherium,A,B02,D:/Wabbajack/modlists/JoJ,Legends of Aetherium - New Dungeon - Quest - Armour - Weapons,LegendsOfAetherium.esp
AscendHiddenPeaks,Ascend - Hidden Peaks of Skyrim,A,B01,D:/Wabbajack/modlists/JoJ,Ascend - Hidden Peaks of Skyrim,Ascend - Hidden Peaks of Skyrim.esp
ToolsOfKagrenac,The Tools of Kagrenac,A,B01,D:/Wabbajack/modlists/JoJ,The Tools of Kagrenac,Tools of Kagrenac.esp
Kaidan2,Kaidan 2,C,B05,D:/Wabbajack/modlists/JoJ,Kaidan 2,0Kaidan.esp
ImmersiveKaidanAIO,Immersive Kaidan AIO,C,B05,D:/Wabbajack/modlists/JoJ,Immersive Kaidan AIO - V5.1.2,Kaidan - Immersive Features.esp
Lucien,Lucien,C,B05,D:/Wabbajack/modlists/JoJ,Lucien - Immersive Fully Voiced Male Follower,Lucien.esp
Remiel,Remiel,C,B05,D:/Wabbajack/modlists/JoJ,Remiel-Custom Voiced Follower,HLIORemi.esp
Sachil,Sa'chil,C,B06,D:/Wabbajack/modlists/JoJ,Sa'chil - Custom Voiced Khajiit Follower,SU04SachilFollower.esp
ValSerano,Val Serano,C,B06,D:/Wabbajack/modlists/JoJ,Val Serano,AX ValSerano.esp
Taliesin,Taliesin,C,B06,D:/Wabbajack/modlists/JoJ,The Thalmor's Shadow - Taliesin (Custom Voiced Follower),00Taliesin.esp
Hoth,Hoth,C,B06,D:/Wabbajack/modlists/JoJ,Hoth,HothFollower.esp
Gore,Gore,C,B06,D:/Wabbajack/modlists/JoJ,Gore - A Companion Mod,GORE.esp
KhajiitWillFollow,Khajiit Will Follow,C,B06,D:/Wabbajack/modlists/JoJ,Khajiit Will Follow,KhajiitWillFollow.esp
MerlinTheCorgi,Merlin the Corgi,C,B06,D:/Wabbajack/modlists/JoJ,Merlin the Corgi,Merlin.esp
RedcapTheRiekling,Redcap the Riekling,C,B06,D:/Wabbajack/modlists/JoJ,Redcap the Riekling - A Fully Voice-Acted Immersive Follower and Quest,FA01RedcapFollower.esp
Inigo,Inigo,C,B05,D:/Wabbajack/modlists/JoJ,INIGO 2.4C UPDATE ESP FILE,Inigo.esp
InterestingNPCs,Interesting NPCs (3DNPC),C,B07,D:/Wabbajack/modlists/JoJ,Interesting NPCs - 4.5 to 4.54 Update,3DNPC.esp
