separator,mod,plugin,signature,formid,editor_id,name,covered_by,triage,candidate_deities,notes,candidate_deities_canonical,reachable_races
Quests and Newlands - Modded Followers,Ashe - Crystal Heart,Ashe - Fire and Blood.esp,QUST,Ashe - Fire and Blood.esp:1A9DEE,MM_FriendshipQuest,Whispers of White Hair,none,ROWABLE,,Friendship arc; 20 stages / 7 objectives,,
Quests and Newlands - Modded Followers,Ashe - Crystal Heart,Ashe - Fire and Blood.esp,QUST,Ashe - Fire and Blood.esp:756FEA,MM_AMQ_01,A Borrowed Soul,none,ROWABLE,,Ashe main questline part 1; 15 stages / 4 objectives; soul-vestige theme,,
Quests and Newlands - Modded Followers,Ashe - Crystal Heart,Ashe - Fire and Blood.esp,QUST,Ashe - Fire and Blood.esp:BB194C,MM_AMQ_02,All For One,none,ROWABLE,,Main questline part 2; 15 stages / 10 objectives,,
Quests and Newlands - Modded Followers,Ashe - Crystal Heart,Ashe - Fire and Blood.esp,QUST,Ashe - Fire and Blood.esp:BC5D8F,MM_AMQ_03,Oath Echoes,none,ROWABLE,,Main questline part 3; 16 stages / 10 objectives; oath theme,,
Quests and Newlands - Modded Followers,Ashe - Crystal Heart,Ashe - Fire and Blood.esp,QUST,Ashe - Fire and Blood.esp:00AA1A,MM_AMQ_04,Shadows of the Past,none,ROWABLE,,Main questline part 4; 11 stages / 8 objectives,,
Quests and Newlands - Modded Followers,Ashe - Crystal Heart,Ashe - Fire and Blood.esp,QUST,Ashe - Fire and Blood.esp:056A66,MM_AMQ_05,Through Hell and High Water,none,ROWABLE,,Main questline part 5; 15 stages / 4 objectives,,
Quests and Newlands - Modded Followers,Ashe - Crystal Heart,Ashe - Fire and Blood.esp,QUST,Ashe - Fire and Blood.esp:C07BE5,MM_AMQ_06,One For All,none,ROWABLE,,Main questline part 6; 11 stages / 4 objectives,,
Quests and Newlands - Modded Followers,Ashe - Crystal Heart,Ashe - Fire and Blood.esp,QUST,Ashe - Fire and Blood.esp:C07BE9,MM_AMQ_06a,Shattered Orphans,none,ROWABLE,,Main questline part 6a; 20 stages / 12 objectives,,
Quests and Newlands - Modded Followers,Ashe - Crystal Heart,Ashe - Fire and Blood.esp,QUST,Ashe - Fire and Blood.esp:C11E05,MM_AMQ_06c,Beyond the Blade - OLD QUEST,none,DEFER,,Name self-marks as OLD QUEST; 16 stages / 9 objectives; superseded by MM_AMQ_06cNEW (380306) which was not read; do not row without confirming which branch runs,,
Quests and Newlands - Modded Followers,Ashe - Crystal Heart,Ashe - Fire and Blood.esp,QUST,Ashe - Fire and Blood.esp:D6A70C,MM_AMQ_07,Go Beyond - Vestiges Reborn,none,ROWABLE,,Main questline finale; 13 stages / 5 objectives,,
Quests and Newlands - Modded Followers,Ashe - Crystal Heart,Ashe - Fire and Blood.esp,QUST,Ashe - Fire and Blood.esp:E5DA07,MM_AMQ_07Epilogue,Bound by Flame and Crystal,none,ROWABLE,,Epilogue; 13 stages / 3 objectives,,
Quests and Newlands - Modded Followers,Ashe - Crystal Heart,Ashe - Fire and Blood.esp,QUST,Ashe - Fire and Blood.esp:2E3D38,MM_AQ00,Ashe Flashback Quest 0,none,DEFER,,Name is a dev placeholder; 14 stages / 2 objectives; flashback vignette,,
Quests and Newlands - Modded Followers,Ashe - Crystal Heart,Ashe - Fire and Blood.esp,QUST,Ashe - Fire and Blood.esp:06B2D4,MM_AQ01,Ashe Flashback Quest 01,none,DEFER,,Dev placeholder name; 7 stages / 2 objectives,,
Quests and Newlands - Modded Followers,Ashe - Crystal Heart,Ashe - Fire and Blood.esp,QUST,Ashe - Fire and Blood.esp:08A284,MM_AQ02,Ashe Flashback Quest 02,none,DEFER,,Dev placeholder name; 6 stages / 1 objective,,
Quests and Newlands - Modded Followers,Ashe - Crystal Heart,Ashe - Fire and Blood.esp,SUMMARY,,,,none,ROWABLE,,48 QUST defined (14 player-facing above). NOT READ - two more AMQ-chain members that are probably named and player-facing: C11E04 MM_AMQ_06b and 380306 MM_AMQ_06cNEW; read these before finalising the Ashe chain. Remaining are drivers: MM_CampfireTalks MM_RomanceHandler MM_NPCCommentary01-03 MM_AsheMentalModel MM_AQ00Bed MM_AMQ_01_FlashbackScene1-3 MM_AMQ_02Scene MM_AMQ_RNPC etc. Non-quest defined: BOOK 25 SPEL 20 ACTI 7 MISC 30 FACT 10 NPC_ 22 LCTN 8 defined of 24 touched (MM_BlackheartDungeonLocation MM_AryoLabLocation Int/Ext MM_RolenHutLocation Int/Ext MM_LauetHouse Int/Ext MM_AsheStorageMarkerLocation). Vanilla LCTN referenced include BloatedMansGrotto Sovngarde ThalmorEmbassy DarkBrotherhoodSanctuary Irkngthand. Journal: stage LogEntries present on the AMQ chain. candidate_deities left blank: Ashe's race/culture not established from records alone; soul/oath/vestige themes point at Arkay or Sithis but unconfirmed,,
Quests and Newlands - Modded Followers,Ashe - Crystal Heart - SDA,Ashe and Serana Banter Patch.esp,NONE,,,,none,NO-ROWS,,Defines 1 QUST 00AA1A MM_AsheranaBanterMain named Ashe and Serana Banter Main Controller - banter driver only. Everything else is an override of Ashe - Fire and Blood.esp or Dawnguard.esm,,
Quests and Newlands - Modded Followers,Auri - VIGILANT commentary patch tweaks,018AuriVIGILANTtweaks.esp,NONE,,,,none,NO-ROWS,,19 records total. Defines 1 QUST 000802 018AuriVIGILANTSummonQuest (unnamed summon driver) plus 1 SPEL and 1 MGEF. No player-facing quest,,
Quests and Newlands - Modded Followers,Deadlands Expanded - A Kaidan Quest Overhaul,KR2_Deadlands.esp,SUMMARY,,,,none,DEFER,Mehrunes Dagon,Defines 3 QUST all unnamed drivers: 212831 KR2BloodedDawnCultDialogue / 24553B KR2BDAttack / 2C45D8 KR2KMDDeathQuest. The player-facing quest it overhauls is Blood and Fire (1CD8FD:0Kaidan.esp) - row that under 0Kaidan.esp. Non-quest defined: BOOK 3 ACTI 6 FACT 2 LCTN 2 NPC_ 6 KYWD 2 plus a Deadlands WRLD/Climate/Weather/ImageSpace set. Mythic Dawn / Dagon-cult framing,,
