input_id,batch_id,wave,separator,mod,plugin,plugin_path,evidence_id,evidence_kind,reader_status,record_signature,formid,editor_id,name,quest_expansion_classification,stage_numbers,evidence,signal_counts,proposed_triage,proposed_reason,notes,primary_review_status
7c659403d0682092,C005,C,Character Visuals - Male Body,Schlongs of Skyrim - NG,Schlongs of Skyrim - Core.esm,D:\Wabbajack\modlists\ARR 2.5\mods\Schlongs of Skyrim - NG\Schlongs of Skyrim - Core.esm,PLUGIN,PLUGIN-NO-ROWS,read,,,,,,,,,DEFER,Primary review.,0 QUST direct-enumerated.,UNREVIEWED
7062dc7b051dd821,C005,C,Character Visuals - Male Body,Schlongs of Skyrim - NG,Schlongs of Skyrim.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Schlongs of Skyrim - NG\Schlongs of Skyrim.esp,PLUGIN,PLUGIN-NO-ROWS,read,,,,,,,,,DEFER,Primary review.,0 QUST direct-enumerated. Missing masters recorded.,UNREVIEWED
545c41bddca81976,C005,C,Character Visuals - Male Body,Schlongs of Skyrim - NG,SOS - Smurf Average Addon.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Schlongs of Skyrim - NG\SOS - Smurf Average Addon.esp,PLUGIN,PLUGIN-NO-ROWS,read,,,,,,,,,DEFER,Primary review.,0 QUST direct-enumerated. Missing masters recorded.,UNREVIEWED
b2419652127a543e,C005,C,Character Visuals - NPC Appearances - Base,Additional Dremora Faces,Additional Dremora Faces.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Additional Dremora Faces\Additional Dremora Faces.esp,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,,,DEFER,Primary review.,1 QUST direct-enumerated.,UNREVIEWED
b2419652127a543e,C005,C,Character Visuals - NPC Appearances - Base,Additional Dremora Faces,Additional Dremora Faces.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Additional Dremora Faces\Additional Dremora Faces.esp,10074F:Skyrim.esm,QUST,read,QUST,10074F:Skyrim.esm,DialogueDremora,,existing-stage-edits-only,,Direct QUST enumeration.,,DEFER,No semantic approval.,,UNREVIEWED
9c574c9ae3ca9507,C005,C,Character Visuals - NPC Appearances - Base,Men of Skyrim Refined,MOSRefined.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Men of Skyrim Refined\MOSRefined.esp,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,,,DEFER,Primary review.,1 QUST direct-enumerated.,UNREVIEWED
9c574c9ae3ca9507,C005,C,Character Visuals - NPC Appearances - Base,Men of Skyrim Refined,MOSRefined.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Men of Skyrim Refined\MOSRefined.esp,000C61:MOSRefined.esp,QUST,read,QUST,000C61:MOSRefined.esp,FollowerMarcurioQuest,,existing-stage-edits-only,,Direct QUST enumeration.,,DEFER,No semantic approval.,,UNREVIEWED
12f1e6d6fe4ef6bd,C005,C,Character Visuals - NPC Appearances - Base,Men of Skyrim Refined,MOSRefinedAIOverhaulPatch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Men of Skyrim Refined\MOSRefinedAIOverhaulPatch.esp,PLUGIN,PLUGIN-NO-ROWS,read,,,,,,,,,DEFER,Primary review.,0 QUST direct-enumerated. Missing masters recorded.,UNREVIEWED
644ee67f3eabcfaa,C005,C,Character Visuals - NPC Appearances - Base,Men of Skyrim Refined,MOSRefinedCreationClub.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Men of Skyrim Refined\MOSRefinedCreationClub.esp,PLUGIN,PLUGIN-NO-ROWS,read,,,,,,,,,DEFER,Primary review.,0 QUST direct-enumerated. Missing masters recorded.,UNREVIEWED
9f39596f74ab74a7,C005,C,Character Visuals - NPC Appearances - Base,Men of Skyrim Refined,MOSRefinedDawnguard.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Men of Skyrim Refined\MOSRefinedDawnguard.esp,PLUGIN,PLUGIN-NO-ROWS,read,,,,,,,,,DEFER,Primary review.,0 QUST direct-enumerated. Missing masters recorded.,UNREVIEWED
58de0b22d7595ba7,C005,C,Character Visuals - NPC Appearances - Base,Men of Skyrim Refined,MOSRefinedDragonborn.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Men of Skyrim Refined\MOSRefinedDragonborn.esp,PLUGIN,PLUGIN-NO-ROWS,read,,,,,,,,,DEFER,Primary review.,0 QUST direct-enumerated. Missing masters recorded.,UNREVIEWED
7713e38bd4e93560,C005,C,Character Visuals - NPC Appearances - Named,Serana Multiform NG,SeranaMultiformNG.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Serana Multiform NG\SeranaMultiformNG.esp,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,,,DEFER,Primary review.,1 QUST direct-enumerated.,UNREVIEWED
7713e38bd4e93560,C005,C,Character Visuals - NPC Appearances - Named,Serana Multiform NG,SeranaMultiformNG.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Serana Multiform NG\SeranaMultiformNG.esp,000800:SeranaMultiformNG.esp,QUST,read,QUST,000800:SeranaMultiformNG.esp,SeranaMultiformQuest,,existing-stage-edits-only,,Direct QUST enumeration.,,DEFER,No semantic approval.,,UNREVIEWED
