actor,eventId,eventName,sentiment,tier,baseDelta,dailyCap,cooldownDays,stanceGate,conditionTag,notes
Daedric:Mehrunes Dagon,2,kill-hostile-humanoid,+,small,0.25,3,0,PathOpen,,cutting down what stands is the work of ruin
Daedric:Mehrunes Dagon,302,kill-dragon,+,medium,1.0,2,0.5,PathOpen,,breaking the mighty pleases the Prince of Destruction
Daedric:Mehrunes Dagon,304,murder-defenseless,+,small,0.5,3,0,PathOpen,,ruin draws no line around the helpless
Daedric:Mehrunes Dagon,368,accept-daedric-artifact,+,large,1.5,1,1.0,PathOpen,ActorTypeDaedra,Mehrunes' Razor claimed
Daedric:Mehrunes Dagon,350,heal-or-cure-npc,-,small,-0.25,3,0,PathOpen,,preservation offends the principle of ruin
Daedric:Hircine,1,kill-hostile-beast,+,medium,0.75,2,0.5,PathOpen,,the great hunt; COORDINATE with werewolf curse rows - do not double-fire
Daedric:Hircine,2,kill-hostile-humanoid,+,small,0.25,3,0,PathOpen,,worthy two-legged prey taken in the chase
Daedric:Hircine,313,rest-under-open-sky,+,small,0.25,3,0,PathOpen,,the hunter's night under the open sky
Daedric:Hircine,368,accept-daedric-artifact,+,medium,1.0,1,1.0,PathOpen,ActorTypeDaedra,Savior's Hide or the Ring of Hircine claimed
Daedric:Hircine,350,heal-or-cure-npc,-,small,-0.25,3,0,PathOpen,,the hunt does not nurse the weak
Daedric:Meridia,300,kill-undead,+,medium,1.0,2,0.5,PathOpen,ActorTypeUndead,her singular hatred; the undead are an affront to the light
Daedric:Meridia,365,raise-undead,-,large,-2.0,1,1.0,PathOpen,,the defiling of life-force she most abhors
Daedric:Meridia,368,accept-daedric-artifact,+,medium,1.0,1,1.0,PathOpen,ActorTypeDaedra,Dawnbreaker taken up
Daedric:Meridia,350,heal-or-cure-npc,+,small,0.25,3,0,PathOpen,,the living light sustained in another
Daedric:Molag Bal,364,assault-innocent,+,medium,0.75,2,0.5,PathOpen,,domination of the weak is his sacrament
Daedric:Molag Bal,304,murder-defenseless,+,medium,0.75,2,0.5,PathOpen,,cruelty rendered to the helpless
Daedric:Molag Bal,366,vampire-feed,+,small,0.5,3,0,PathOpen,,MODERATE detection; COORDINATE with vampire curse rows
